i,j,alpha,weight
welfare,people,0.5082,0.15553297497775218
welfare,wearing_masks,0.4757,0.168107794873566
home,answer,0.4596,0.12624588827405286
home,environment,0.4305,0.13579680664280055
home,large_extent,0.4425,0.13916625421865883
home,originally_thought,0.4425,0.13916625421865883
originally_thought,answer,0.3875,0.1597659596949876
originally_thought,environment,0.4177,0.1481648071928153
originally_thought,large_extent,0.3478,0.17611686579554428
originally_thought,question,0.5268,0.12559757509825945
overemphasized_success,value,0.4552,0.1605668448412511
face,connection,0.4464,0.16031446650756515
face,contact,0.5323,0.12801035434383198
face,interaction,0.3261,0.20637869227786707
face,relationship,0.5186,0.14044107137301579
pleasure,credit,0.3329,0.22988447214588045
pleasure,happiness,0.4516,0.17233667245357573
pleasure,people,0.4851,0.15817271890487428
pleasure,relative,0.5386,0.14040794078776897
globe,world,0.5055,0.13627027349984663
inequality,health,0.5302,0.1664238796388497
inequality,income,0.5506,0.15748907014908226
inequality,people,0.3348,0.29160023171504884
nationalism_populism,long_term,0.4542,0.12537448384955963
consumption,number,0.4653,0.16478865561264439
big_guys,central_government,0.3174,0.2414623851632059
big_guys,community,0.529,0.15247855346577024
big_guys,help,0.4459,0.18072147043743794
big_guys,people,0.4334,0.2234004862053106
big_guys,society,0.5471,0.13797275776378626
relative,animal,0.3275,0.244608391165344
relative,aristotle_once,0.5039,0.15477769176586398
relative,friend,0.4013,0.20294587651742418
relative,happiness,0.5644,0.130212440214902
relative,larger_group,0.5039,0.15477769176586398
relative,people,0.4027,0.2022317926756949
neighbor,capital,0.5355,0.15760680395791252
neighbor,community,0.4308,0.2052821371412263
neighbor,people,0.4477,0.21478738861050198
america,long_term,0.4542,0.12537448384955963
note,community,0.6023,0.121934886383964
bar,kin,0.4444,0.18604093729760168
preparation,bird_flu,0.3638,0.19365348833998078
preparation,civilization,0.3638,0.19365348833998078
preparation,end,0.4786,0.14493910985135697
preparation,event,0.4968,0.13810380076293635
preparation,greatest_blessing,0.3638,0.19365348833998078
illness,external_threat,0.4842,0.12068632845550309
civilization,bird_flu,0.3638,0.19365348833998078
civilization,end,0.443,0.14493910985135697
civilization,event,0.4667,0.13810380076293635
civilization,greatest_blessing,0.3638,0.19365348833998078
issue,fact,0.4832,0.1446383847290009
kin,increase,0.4815,0.16876866821155032
kin,number,0.486,0.15651379826773623
kin,outcome,0.5738,0.1392415291816849
kin,people,0.4235,0.22949957370949878
kin,relationship,0.3531,0.21942878030363894
established_connection,community,0.6023,0.121934886383964
guidance,question,0.5397,0.12107023914750496
society,central_government,0.5471,0.13797275776378626
society,community,0.5377,0.14179802381680257
society,external_threat,0.5473,0.13792148661280781
society,help,0.57,0.1289209108139426
society,people,0.1302,0.4274263194742209
society,sense,0.443,0.18386290213753292
society,world,0.2756,0.2505182817733162
credit,happiness,0.5194,0.14212784983377197
strengthening,party,0.4268,0.14563697239504328
strengthening,relationship,0.4807,0.1288302873709951
run,world,0.5055,0.13627027349984663
problem,couple,0.5459,0.12093587127202568
problem,long_term,0.5309,0.12569019884710805
external_threat,category,0.4842,0.12068632845550309
external_threat,plague,0.4842,0.12068632845550309
external_threat,sense,0.5397,0.15242189191125452
end,bird_flu,0.443,0.14493910985135697
end,connection,0.3669,0.1761529421399295
end,greatest_blessing,0.4786,0.14493910985135697
end,people,0.5916,0.1406511089903003
end,skill,0.5172,0.1336465362993236
gratitude,concert,0.4009,0.18782246858328974
gratitude,crowded_subway,0.4009,0.18782246858328974
gratitude,disaster,0.4387,0.1703847999448678
gratitude,friend,0.5568,0.12313723987421853
gratitude,increase,0.4354,0.1703847999448678
gratitude,loved_one,0.4014,0.15801257715106232
gratitude,variety,0.4009,0.18782246858328974
process,people,0.5485,0.160813535611496
animal,friend,0.5134,0.12706539744731793
animal,people,0.5961,0.13866873775612795
interaction,connection,0.4439,0.15184482294597212
interaction,contact,0.5257,0.121247383433566
interaction,day,0.3225,0.2082715090366265
interaction,emotion,0.5184,0.1237815041945322
interaction,expression,0.5184,0.1237815041945322
interaction,importance,0.3439,0.19710633837306712
interaction,people,0.5122,0.17903754084637608
interaction,relationship,0.5024,0.1470505348594941
interaction,value,0.5585,0.12017555564026046
loved_one,certainty,0.4751,0.13232490035132458
loved_one,life,0.3976,0.15939258638897383
skill,connection,0.4949,0.1411011106716058
large_extent,answer,0.3875,0.1597659596949876
large_extent,environment,0.4177,0.1481648071928153
large_extent,question,0.5268,0.12559757509825945
people,ability,0.5932,0.13996434472892832
people,belief,0.2895,0.32985171164077165
people,central_government,0.4334,0.2234004862053106
people,community,0.116,0.5681180184743816
people,connection,0.4365,0.22146956252807862
people,country,0.4922,0.18964082301803903
people,crisis,0.4915,0.18999111280816605
people,day,0.5878,0.14239879464209143
people,domain,0.5803,0.14583121639767116
people,each_other,0.542,0.1639848222036093
people,effect,0.6049,0.13473474954461215
people,event,0.5034,0.18363902823515174
people,experience,0.5621,0.1543089848657548
people,fact,0.4895,0.19110761002358587
people,family,0.3872,0.2532505605428389
people,feeling,0.613,0.13119122483405826
people,friend,0.4141,0.235446807068359
people,group,0.3471,0.28212446095836957
people,health,0.2754,0.3430142330761345
people,help,0.3961,0.2472283775829161
people,hope,0.5705,0.15035971991801678
people,income,0.3933,0.24905536628450467
people,individual,0.4677,0.20317199455723903
people,life,0.3787,0.2590749824910214
people,number,0.4809,0.19581946623065827
people,outcome,0.3532,0.27752476987480107
people,past,0.5324,0.1687650347031137
people,question,0.3148,0.21847402558491996
people,relationship,0.1909,0.341052476170095
people,sense,0.201,0.36052328550881635
people,value,0.2561,0.2693566820668447
people,video,0.6194,0.1222558820588843
people,way,0.1471,0.4614867611355117
people,wearing_masks,0.4534,0.17145066529336478
people,work,0.2717,0.2832965366179022
people,workplace,0.5382,0.1487835681612939
people,world,0.2299,0.2834786799938313
people,year,0.4738,0.16965556954013403
people,zoom,0.5072,0.12053226494758038
central_government,community,0.529,0.15247855346577024
central_government,help,0.4459,0.18072147043743794
friend,fact,0.5331,0.12035357253457725
emotion,day,0.2078,0.27827205705994573
emotion,expression,0.424,0.1653847612547394
emotion,importance,0.5401,0.1237815041945322
community,behavior,0.4394,0.1957408642252724
community,effect,0.3515,0.20703316836528463
community,existential_threat,0.6023,0.121934886383964
community,global_warming,0.6023,0.121934886383964
community,help,0.3005,0.25898239288527514
community,practice_run,0.6023,0.121934886383964
community,stress,0.3831,0.16670980770002056
community,stress_buffering,0.5117,0.16030438147584716
prediction,way,0.4557,0.20116995125435438
certainty,contact,0.4692,0.13232490035132458
certainty,financial_security,0.4306,0.15728867845287536
certainty,fragility,0.4306,0.15728867845287536
certainty,hope,0.4636,0.13232490035132458
certainty,life,0.3744,0.20338341024747553
certainty,tacit_assumptions,0.4306,0.15728867845287536
solve_serious,long_term,0.4542,0.12537448384955963
realization,world,0.4329,0.1660596706925484
zoom,connection,0.4426,0.14161122844696475
zoom,relationship,0.4056,0.15464402868295238
environment,air,0.4706,0.1263014550070916
environment,answer,0.4469,0.13440900453942684
environment,mitigate_climate,0.4311,0.1263014550070916
sense,work,0.5935,0.12236868644215086
sense,world,0.5194,0.13099596120028903
long_term,medical_problems,0.4542,0.12537448384955963
long_term,such_ideologie,0.4542,0.12537448384955963
stress,couple,0.5015,0.12768146656867402
answer,question,0.4164,0.16885190671863778
answer,work,0.5859,0.12520199658814216
question,way,0.5522,0.1536257063261943
question,work,0.3573,0.22973907504338853
couple,relationship,0.5125,0.14293586233288616
workplace,business,0.5778,0.1329076777300332
workplace,day,0.5778,0.1329076777300332
workplace,flexibility,0.5342,0.15045129341219413
video,impact,0.5247,0.15822697322788357
importance,day,0.3333,0.2082715090366265
importance,expression,0.5401,0.1237815041945322
family,distancing,0.4383,0.3121635179576834
family,happiness,0.202,0.32500529938738953
family,life,0.2983,0.2476742757704003
family,relationship,0.2112,0.32146386993789644
way,belief,0.4375,0.21110705209125322
way,each_other,0.556,0.15191480735930923
way,health,0.5796,0.14145424847226534
way,insight,0.5753,0.1433327948790941
way,life,0.5752,0.1433716491671957
way,mind,0.5753,0.1433327948790941
air,bit,0.4583,0.1263014550070916
air,lockdown,0.5164,0.1263014550070916
air,mitigate_climate,0.3615,0.15012887893357013
air,no_doubt,0.5111,0.13619072944779412
mitigate_climate,bit,0.4311,0.1263014550070916
mitigate_climate,lockdown,0.4311,0.1263014550070916
mitigate_climate,no_doubt,0.5111,0.13619072944779412
party,relationship,0.5483,0.1288302873709951
each_other,group,0.595,0.15846225649673007
health,hope,0.3887,0.15819663761807734
health,income,0.4301,0.2036174933153876
manage_climate,world,0.5055,0.13627027349984663
utility,value,0.4552,0.1605668448412511
aspect,life,0.4659,0.1598514774027215
material_consumption,value,0.4552,0.1605668448412511
value,life,0.4693,0.1545688290934078
value,lost_sight,0.4552,0.1605668448412511
value,meaningful_moment,0.4552,0.1605668448412511
value,year,0.5186,0.15129313183671303
bird_flu,event,0.4667,0.13810380076293635
bird_flu,greatest_blessing,0.3638,0.19365348833998078
connection,contact,0.3131,0.19343799267574902
connection,relationship,0.5524,0.12727556773161772
distancing,happiness,0.3677,0.21189086117865877
distancing,relationship,0.4989,0.14853308059901976
event,greatest_blessing,0.4968,0.13810380076293635
event,world,0.4892,0.14258229829439478
world,baseline_pretty,0.5055,0.13627027349984663
world,medium_run,0.5055,0.13627027349984663
world,meet_need,0.5055,0.13627027349984663
life,happiness,0.5424,0.12897872470921945
life,relationship,0.5561,0.1258457977705877
life,work,0.5526,0.1381265122525276
expression,day,0.2078,0.27827205705994573
group,year,0.49,0.16289623169413772
happiness,relationship,0.4989,0.14853308059901976
